Price,Close,High,Low,Open,Volume,MA50,MA200
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2022-05-25,1183.0216064453125,1203.2670225299603,1178.2658929997126,1193.4387237828619,12714544,1173.4899536132812,
2022-05-26,1171.743896484375,1193.393371125466,1154.0347740615534,1188.6376579513867,17882023,1175.1924731445313,
2022-05-27,1166.3089599609375,1179.9191164627784,1150.4568600156867,1174.4388502012214,16521973,1176.6078466796876,
2022-05-30,1206.935791015625,1211.1025664956994,1174.9597635821942,1184.3803827895526,13853398,1179.3375854492188,
2022-05-31,1192.374267578125,1213.2764285050255,1184.6973432373502,1196.337262181718,70620653,1181.4146655273437,
2022-06-01,1192.75927734375,1202.587575606305,1184.9237375655662,1193.1215535044294,9776989,1182.7897216796875,
2022-06-02,1233.88427734375,1237.5755649319342,1192.98576447725,1192.98576447725,22126569,1185.1168139648437,
2022-06-03,1258.8853759765625,1276.0283243723425,1241.9009234208313,1242.8068535360608,23939791,1187.3664575195312,
2022-06-06,1253.4730224609375,1274.5110388345443,1246.3395117355965,1259.1119042533815,11093152,1189.4349340820313,
2022-06-07,1255.828125,1264.139152836091,1246.4527910651425,1254.5372764842177,12358255,1191.1931640625,
2022-06-08,1233.77099609375,1259.564603425916,1230.2608467946977,1255.8280315270272,12479250,1192.3544458007811,
2022-06-09,1267.60400390625,1269.5288357275542,1227.4075206691546,1227.4075206691546,17278305,1193.9559594726563,
2022-06-10,1229.33251953125,1263.5957731905057,1223.5577842447772,1255.4432409626409,18093057,1194.7866137695312,
2022-06-13,1206.0750732421875,1210.558959942895,1184.9691305419672,1200.2325310142617,17620803,1194.6955737304688,
2022-06-14,1190.3135986328125,1210.1288135182253,1183.6783373201108,1200.2552293704455,14714312,1194.6353344726563,
2022-06-15,1175.910888671875,1194.4805402025763,1170.5211912252462,1185.5354082981676,11195535,1194.0959130859376,
2022-06-16,1159.4697265625,1204.3312302745605,1156.7521762440374,1188.0035257051024,17111475,1193.1565576171874,
2022-06-17,1173.0572509765625,1188.8414216894157,1157.7034029954712,1159.4697388409886,24457187,1192.83,
2022-06-20,1151.79296875,1185.331550638825,1141.8513382748356,1179.851164692969,12066797,1192.1415649414062,
2022-06-21,1170.38525390625,1174.5973137201734,1145.112415821389,1159.4698864092793,11720049,1192.2434716796874,
2022-06-22,1134.8310546875,1158.6998308652678,1132.747607320494,1158.6092618232658,10617206,1191.2465966796874,
2022-06-23,1116.419921875,1143.6177098347453,1107.3842221697334,1139.1111811125647,19446323,1189.9308666992188,
2022-06-24,1132.3175048828125,1137.2768791745684,1117.8014186070498,1123.2365200121847,14240234,1189.3783032226563,
2022-06-27,1128.9658203125,1152.6534598644344,1123.9383995696694,1152.6534598644344,15474529,1188.843857421875,
2022-06-28,1144.840576171875,1147.67133814574,1124.187598454475,1124.187598454475,13572847,1188.6975659179689,
2022-06-29,1168.5960693359375,1176.2278290145132,1132.7476201425022,1135.5557396776305,19205146,1188.148173828125,
2022-06-30,1175.616455078125,1184.7880089664673,1162.1874370508547,1168.5282289340553,23112959,1187.0358081054687,
2022-07-01,1090.943359375,1173.9631898181497,1071.150907551117,1166.2183382001654,81997149,1183.6534155273437,
2022-07-04,1093.2080078125,1106.025565464495,1071.6490989100685,1077.4691189892487,41857728,1180.527373046875,
2022-07-05,1102.0625,1116.3973279805082,1094.7478514073186,1097.42011751126,17647327,1178.1563452148437,
2022-07-06,1092.3699951171875,1106.0027924376789,1081.5679595799388,1096.106567126978,23943726,1174.8609155273436,
2022-07-07,1081.61328125,1102.0624779330788,1075.6800503518655,1098.7335863010783,23301033,1171.325888671875,
2022-07-08,1083.10791015625,1095.155510044553,1079.0995110804106,1095.155510044553,19010108,1167.444833984375,
2022-07-11,1097.82763671875,1100.046817658232,1073.4153285810387,1076.359301395055,13847467,1164.1263012695313,
2022-07-12,1096.26513671875,1104.983845261713,1088.8146344584836,1088.8146344584836,10778989,1160.8652905273439,
2022-07-13,1076.8350830078125,1102.4023929174853,1074.7743973152858,1099.3678502402163,14224132,1158.0019458007812,
2022-07-14,1085.712158203125,1102.3796184650857,1076.5632467388843,1081.5680252499114,16970315,1155.7939721679688,
2022-07-15,1087.8182373046875,1093.796752824721,1079.3487135847495,1093.796752824721,9603210,1153.8115502929688,
2022-07-18,1097.08056640625,1098.3260107043704,1083.5155743058108,1096.5143900160117,15160908,1152.9414965820313,
2022-07-19,1103.8062744140625,1108.2901609105513,1087.1388148491112,1087.1388148491112,16439888,1152.601357421875,
2022-07-20,1133.653564453125,1151.5438277746334,1126.0672081991272,1150.4115948025603,23924246,1153.0877905273437,
2022-07-21,1126.089599609375,1132.294656611249,1117.484223617453,1129.577106403111,16523230,1153.8749560546876,
2022-07-22,1133.698974609375,1139.6774905895736,1130.0303289124045,1132.29491466853,10969995,1154.5679248046874,
2022-07-25,1096.242431640625,1117.5522733397709,1088.361726850526,1117.5522733397709,23110452,1154.5063256835938,
2022-07-26,1096.7408447265625,1106.8862563190191,1092.1437462800975,1096.5597066124965,11303288,1153.5311962890626,
2022-07-27,1095.698974609375,1099.2316463703332,1087.90871936657,1096.038608509345,8655086,1152.45189453125,
2022-07-28,1112.8646240234375,1117.7787135139506,1096.5142758027298,1103.3080323769393,12496073,1152.2458178710938,
2022-07-29,1136.57470703125,1140.039571763476,1115.9896583759382,1120.8358207488034,15130683,1151.2041040039062,
2022-08-01,1166.1956787109375,1172.038340631328,1135.7369249153332,1140.9681259695833,15700044,1150.9137817382812,
2022-08-02,1170.63427734375,1181.1193216829413,1160.1718752661886,1165.1313691654111,13917913,1150.631162109375,
2022-08-03,1180.4625244140625,1182.11564904104,1162.8440902328596,1177.586478112168,14250977,1150.57998046875,
2022-08-04,1164.859619140625,1185.6259288355277,1148.1469933470867,1182.1157790494954,14467127,1150.442294921875,
2022-08-05,1147.6939697265625,1167.9846710602349,1144.5009315875282,1166.7165845896059,13942438,1150.0699951171875,
2022-08-08,1162.7081298828125,1170.1359894573532,1146.3351396535795,1146.3351396535795,10165178,1149.1854418945313,
2022-08-10,1169.66064453125,1173.012178752456,1158.133815529184,1167.1242318013608,10724688,1148.7311694335938,
2022-08-11,1173.5556640625,1182.0704726435374,1168.618812190309,1178.990645714219,8198226,1148.3470971679687,
2022-08-12,1192.5328369140625,1196.3146936661199,1169.5247047340195,1173.193230375856,12650587,1147.520068359375,
2022-08-16,1200.8212890625,1203.5388398516432,1189.9513255065965,1198.511418811862,6607378,1146.3587866210937,
2022-08-17,1207.0941162109375,1212.4158859762824,1202.7460834374597,1207.0261894301318,6595965,1145.4312084960939,
2022-08-18,1209.2833251953125,1212.7820913718717,1199.6955520359063,1208.6925853891362,7410035,1144.5003125,
2022-08-19,1187.72216796875,1209.464997552082,1183.6779742626552,1204.148579928399,9460724,1143.5793359375,
2022-08-22,1184.427734375,1195.651309470641,1175.0672431781986,1189.1535324408326,9471680,1141.915810546875,
2022-08-23,1202.694580078125,1205.6027266806439,1177.4982950302235,1178.7024907985585,9678484,1141.3830517578126,
2022-08-24,1199.4908447265625,1213.236390851307,1197.4915843453323,1199.6499778722127,10369622,1141.2513671875,
2022-08-25,1195.9921875,1210.0102083418858,1191.6981161929027,1203.671444195302,7871946,1141.3649389648438,
2022-08-26,1189.6077880859375,1204.1485194816453,1184.6095168359632,1196.4237108559755,10742038,1141.638876953125,
2022-08-29,1180.36083984375,1206.4204546360302,1171.4546722003442,1174.6126958822672,19838975,1142.05669921875,
2022-08-30,1198.6729736328125,1201.990130578996,1170.795826558723,1187.790261371782,23139054,1142.569013671875,
2022-09-01,1163.4346923828125,1183.6780172121637,1159.0270403092493,1173.5450568236956,19909939,1142.8018481445313,
2022-09-02,1149.84814453125,1170.2277638288456,1147.6670348863252,1163.4345573963137,12999345,1142.3911059570312,
2022-09-05,1167.7060546875,1173.0224725362493,1150.0754462865928,1150.0754462865928,11327815,1143.0486059570312,
2022-09-06,1179.997314453125,1184.1550886922698,1168.705591439244,1169.1600343727337,10899618,1144.3201538085937,
2022-09-07,1173.1361083984375,1179.1114147484413,1167.796974159679,1170.0689487334319,7488501,1145.1365258789062,
2022-09-08,1174.79443359375,1180.5198614611618,1168.2512248209334,1176.0894937430355,7057077,1146.0530981445313,
2022-09-09,1167.4788818359375,1185.9727033347192,1165.0704903678632,1185.9727033347192,8314850,1146.5058642578124,
2022-09-12,1180.542724609375,1186.8816091364133,1168.046804859231,1168.046804859231,7435419,1146.7447973632814,
2022-09-13,1190.403076171875,1194.9243089400052,1181.8832020191865,1189.607891122723,8888657,1147.0405297851562,
2022-09-14,1176.1348876953125,1185.9725368614704,1169.0463716919833,1170.068717981627,8678219,1148.7443603515626,
2022-09-15,1164.4798583984375,1183.041828116281,1161.776157155841,1173.7040529111878,10365600,1150.1697973632813,
2022-09-16,1135.62548828125,1160.0720155619993,1131.8994412292752,1155.8688094894658,20217708,1150.8410571289062,
2022-09-19,1137.1025390625,1146.3040180403946,1127.5147655140897,1135.6257495827476,7580254,1151.7357080078125,
2022-09-20,1137.2841796875,1153.119972213298,1133.5808482063046,1146.1903481529216,8411448,1152.8491259765624,
2022-09-21,1140.419677734375,1150.9843653188254,1133.7173348356014,1134.5125199123227,9207309,1153.995361328125,
2022-09-22,1129.673095703125,1137.3523524884633,1123.3116153435435,1129.6276634257686,10308170,1154.6322705078126,
2022-09-23,1108.498291015625,1134.1488981287762,1106.9533532004177,1129.1733426023927,9528051,1154.87693359375,
2022-09-26,1080.257568359375,1098.6379294477279,1079.257938059937,1087.845960638479,12479523,1154.9453833007813,
2022-09-27,1088.8455810546875,1102.3638454814661,1072.4191704410875,1087.8231145473603,16154822,1155.0080517578126,
2022-09-28,1059.855224609375,1080.5529923156532,1057.4242371952328,1072.5328732525227,16997059,1154.4487915039062,
2022-09-29,1056.6063232421875,1075.7817488504493,1051.0171916607421,1072.3738473223364,14671827,1153.639306640625,
2022-09-30,1080.4393310546875,1091.458340177691,1050.108360317172,1050.108360317172,18613024,1153.1719677734375,
2022-10-03,1076.6905517578125,1098.251530811662,1073.7369732258553,1086.687214378407,11852723,1152.0327075195312,
2022-10-04,1096.5474853515625,1098.7285948569065,1086.073664575446,1089.5498341414104,8948850,1151.441865234375,
2022-10-06,1100.5916748046875,1113.269322563035,1098.7968595905177,1103.7271026820092,13352162,1150.7797192382814,
2022-10-07,1105.2493896484375,1110.4976589700225,1097.2065545320427,1097.2065545320427,7714340,1150.9598583984375,
2022-10-10,1093.185302734375,1098.5471532665001,1085.0970345592755,1092.8217242927421,6329527,1150.8887475585936,
2022-10-11,1071.4193115234375,1096.9109001565705,1068.3294365607771,1096.9109001565705,9215177,1150.403154296875,
2022-10-12,1079.3033447265625,1082.2342073300697,1064.6944639855953,1068.7386577474495,7417103,1149.7319287109376,
2022-10-13,1082.734130859375,1087.8232672093102,1072.4193209412924,1077.5540097610362,7328492,1148.6551171875,
2022-10-14,1077.2357177734375,1097.9789154976827,1076.508681223135,1097.3654596284905,9106089,1146.87591796875,
2022-10-17,1094.525634765625,1096.9111900194368,1064.9218171343564,1070.1019383497958,16729355,1145.3537451171876,
2022-10-18,1113.8375244140625,1119.1766588278992,1099.705801236905,1100.5464186357249,12415820,1144.0212451171874,
2022-10-19,1133.21728515625,1148.6440655761994,1109.4977929604431,1115.314085328947,19247142,1143.3883984375,
2022-10-20,1136.2618408203125,1144.6227018334394,1129.173323936751,1129.173323936751,8717053,1143.159755859375,
2022-10-21,1123.084228515625,1143.6229813098248,1120.994103570685,1139.4879233106462,8243452,1142.3672778320313,1139.2487875366212
2022-10-24,1126.8331298828125,1137.1252236758137,1115.6778227953112,1117.8133802746593,3370033,1141.5107275390626,1139.4392190551757
2022-10-25,1109.4298095703125,1135.5348605120162,1107.8167232856267,1135.5348605120162,12233241,1140.2282104492188,1139.4197805786132
2022-10-27,1113.7918701171875,1121.6529753517277,1105.4537260220727,1116.90446154382,12513059,1138.6533911132813,1139.3961099243163
2022-10-28,1147.8717041015625,1151.893061521459,1117.5634478847232,1120.0852998000876,17609592,1137.5943994140625,1139.6630880737305
2022-10-31,1158.5272216796875,1163.6846262416873,1150.62068370947,1154.6194450652783,12419943,1136.6230615234374,1139.9391836547852
2022-11-01,1149.5528564453125,1181.428644108962,1139.6243422706675,1181.428644108962,13963166,1135.4284521484376,1140.1658792114258
2022-11-02,1156.7322998046875,1158.7998289194838,1142.8051438822936,1150.666129478395,8981896,1134.8086547851562,1140.388727722168
2022-11-03,1161.0491943359375,1163.0485752218901,1147.3719146666933,1149.5530246719463,6693449,1134.341083984375,1140.4847177124022
2022-11-04,1178.1343994140625,1181.428720196316,1159.2088516372303,1160.4810755593053,12575815,1133.8498803710938,1140.6339755249023
2022-11-07,1184.427734375,1186.1090891689403,1169.6145286927685,1177.3392175630618,11789748,1133.5486181640624,1140.806321105957
2022-11-09,1183.246337890625,1191.4027533204435,1176.9074538352093,1186.1090519678319,11254205,1133.293701171875,1140.9427542114258
2022-11-10,1168.9329833984375,1179.8611290593667,1164.616195791804,1176.8848340514855,5966242,1132.880205078125,1141.076578063965
2022-11-11,1195.878662109375,1197.787058206641,1175.9760787775724,1181.428793587036,12310132,1133.1905615234375,1141.3455819702149
2022-11-14,1190.0850830078125,1200.5134736804264,1183.7689145270133,1195.4015009715274,9043112,1133.0188037109374,1141.6856002807617
2022-11-15,1184.7459716796875,1193.4248592098502,1176.8848651845096,1191.561895358841,7086433,1133.445029296875,1141.9980178833007
2022-11-16,1177.9527587890625,1188.6764594316192,1172.954366703904,1185.9727580356148,9716161,1134.0071215820312,1142.502814025879
2022-11-17,1180.997314453125,1187.3360795772503,1172.3410220887527,1174.5902807120274,6661451,1134.2729467773438,1143.0333633422852
2022-11-18,1180.36083984375,1185.518244075579,1168.2966485184213,1184.4957775689334,5303197,1134.2802172851561,1143.6403305053711
