,open,high,low,close,adjclose,volume,ticker
2002-07-01,70.4000015258789,71.4749984741211,70.05000305175781,70.44999694824219,48.86812210083008,51318.0,COLPAL.NS
2002-07-02,70.5250015258789,71.1500015258789,69.25,69.7249984741211,48.36521911621094,130628.0,COLPAL.NS
2002-07-03,69.94999694824219,71.2750015258789,69.30000305175781,69.7750015258789,48.39990234375,84620.0,COLPAL.NS
2002-07-04,70.0,70.30000305175781,69.5,69.5250015258789,48.22649002075195,48636.0,COLPAL.NS
2002-07-05,70.75,70.75,69.5,69.5250015258789,48.22649002075195,86260.0,COLPAL.NS
2002-07-08,70.5,72.5,70.0,71.0999984741211,49.31898880004883,168204.0,COLPAL.NS
2002-07-09,71.0,72.19999694824219,70.0250015258789,70.25,48.7293815612793,71802.0,COLPAL.NS
2002-07-10,70.5,70.5,69.4000015258789,69.82499694824219,48.434574127197266,71942.0,COLPAL.NS
2002-07-11,70.25,70.25,69.2750015258789,69.4749984741211,48.19179153442383,41892.0,COLPAL.NS
2002-07-12,69.5,70.44999694824219,69.25,69.8499984741211,48.45193099975586,42490.0,COLPAL.NS
2002-07-15,71.5,72.44999694824219,70.07499694824219,71.94999694824219,49.90859603881836,175378.0,COLPAL.NS
2002-07-16,71.94999694824219,72.5,70.75,71.07499694824219,49.301666259765625,117466.0,COLPAL.NS
2002-07-17,70.75,71.0,69.82499694824219,70.125,48.642669677734375,70776.0,COLPAL.NS
2002-07-18,70.05000305175781,71.4749984741211,70.05000305175781,70.94999694824219,49.21495056152344,41178.0,COLPAL.NS
2002-07-19,70.55000305175781,71.625,70.0,70.3499984741211,48.79875564575195,56048.0,COLPAL.NS
2002-07-22,70.0,70.4749984741211,69.875,70.125,48.642669677734375,66966.0,COLPAL.NS
2002-07-23,70.0,70.44999694824219,70.0,70.1500015258789,48.66002655029297,49306.0,COLPAL.NS
2002-07-24,70.0,70.32499694824219,69.32499694824219,69.9749984741211,48.53861999511719,95986.0,COLPAL.NS
2002-07-25,72.44999694824219,72.5,69.07499694824219,69.9749984741211,48.53861999511719,52596.0,COLPAL.NS
2002-07-26,70.19999694824219,70.19999694824219,69.0,69.4000015258789,48.13978576660156,83598.0,COLPAL.NS
2002-07-29,69.30000305175781,69.75,66.75,68.25,47.34207534790039,95712.0,COLPAL.NS
2002-07-30,69.25,69.25,66.75,66.875,46.38829040527344,107696.0,COLPAL.NS
2002-07-31,67.5,68.375,66.0,66.8499984741211,46.37096405029297,92320.0,COLPAL.NS
2002-08-01,67.5,68.69999694824219,67.0250015258789,67.42500305175781,46.76980209350586,28946.0,COLPAL.NS
2002-08-02,66.80000305175781,68.1500015258789,66.2750015258789,67.0999984741211,46.544368743896484,26878.0,COLPAL.NS
2002-08-05,67.5,67.69999694824219,66.80000305175781,67.42500305175781,46.76980209350586,25344.0,COLPAL.NS
2002-08-06,67.0,67.375,66.5999984741211,66.9749984741211,46.45764923095703,36222.0,COLPAL.NS
2002-08-07,67.44999694824219,67.9000015258789,66.57499694824219,66.75,46.30159378051758,77190.0,COLPAL.NS
2002-08-08,67.0,67.0,66.75,66.875,46.38829040527344,31530.0,COLPAL.NS
2002-08-09,66.5,67.5,65.625,67.4000015258789,46.75245666503906,46346.0,COLPAL.NS
2002-08-12,67.05000305175781,67.5,67.05000305175781,67.2750015258789,46.6657600402832,22110.0,COLPAL.NS
2002-08-13,67.125,68.0,66.75,67.57499694824219,46.87385177612305,28252.0,COLPAL.NS
2002-08-14,67.0,67.9000015258789,63.5,67.0999984741211,46.544368743896484,31026.0,COLPAL.NS
2002-08-15,67.0999984741211,67.0999984741211,67.0999984741211,67.0999984741211,46.544368743896484,0.0,COLPAL.NS
2002-08-16,67.30000305175781,67.75,67.0,67.32499694824219,46.700443267822266,25524.0,COLPAL.NS
2002-08-19,67.25,67.7249984741211,66.67500305175781,67.5,46.82183837890625,22056.0,COLPAL.NS
2002-08-20,67.5,67.5999984741211,67.25,67.375,46.735130310058594,21878.0,COLPAL.NS
2002-08-21,66.25,67.92500305175781,66.125,67.0999984741211,46.544368743896484,21746.0,COLPAL.NS
2002-08-22,67.25,67.25,66.57499694824219,66.69999694824219,46.26691436767578,30964.0,COLPAL.NS
2002-08-23,66.80000305175781,67.44999694824219,66.80000305175781,67.125,46.56169891357422,29186.0,COLPAL.NS
2002-08-26,67.25,67.5,66.75,67.2249984741211,46.63106155395508,25266.0,COLPAL.NS
2002-08-27,67.42500305175781,68.5999984741211,67.25,68.375,47.42877960205078,54562.0,COLPAL.NS
2002-08-28,68.1500015258789,69.75,68.1500015258789,68.75,47.688907623291016,49886.0,COLPAL.NS
2002-08-29,69.2249984741211,69.2249984741211,67.375,68.0999984741211,47.2380256652832,58072.0,COLPAL.NS
2002-08-30,68.5,68.5,67.75,68.30000305175781,47.37676239013672,21416.0,COLPAL.NS
2002-09-02,68.5,69.2750015258789,67.875,68.2249984741211,47.32473373413086,64030.0,COLPAL.NS
2002-09-03,67.5250015258789,69.3499984741211,67.5250015258789,68.0999984741211,47.2380256652832,23782.0,COLPAL.NS
2002-09-04,67.875,68.0,67.5250015258789,67.7750015258789,47.012603759765625,15044.0,COLPAL.NS
2002-09-05,67.7750015258789,68.4749984741211,67.5250015258789,67.75,46.9952507019043,44252.0,COLPAL.NS
2002-09-06,67.9749984741211,68.2249984741211,67.55000305175781,67.7249984741211,46.97789764404297,25488.0,COLPAL.NS
2002-09-09,67.5250015258789,67.69999694824219,67.375,67.5250015258789,46.83917236328125,21456.0,COLPAL.NS
2002-09-10,67.5250015258789,67.5250015258789,67.5250015258789,67.5250015258789,46.83917236328125,0.0,COLPAL.NS
2002-09-11,67.5250015258789,67.8499984741211,67.44999694824219,67.57499694824219,46.87385177612305,44496.0,COLPAL.NS
2002-09-12,67.32499694824219,67.75,67.30000305175781,67.625,46.908538818359375,41270.0,COLPAL.NS
2002-09-13,67.4000015258789,67.625,67.4000015258789,67.5250015258789,46.83917236328125,18374.0,COLPAL.NS
2002-09-16,67.5,67.5,66.8499984741211,66.9749984741211,46.45764923095703,35248.0,COLPAL.NS
2002-09-17,67.0,67.125,66.625,66.92500305175781,46.4229736328125,16260.0,COLPAL.NS
